LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,start,end,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso,LocalURN
E,75,E5095,17,N,105,E,Asia,Vietnam & Laos,Dong Hen,89.8,66,Upper,Cretaceous,,,Evaporites,,nonmarine evaporites,Vu Khuc(written comm. 1994  1996  2000),,75
E,76,E5095.1,43.5,N,5,E,Europe,France,Marseille region,89.8,66,Upper,Cretaceous,Campanian-Maastrichtian,,Gypsum,,,Garcia Vianey-Liaud(2001),,76
E,77,E5096,39,N,21,E,Europe,Greece,Epeirus western Greece,89.8,66,Upper,Cretaceous,,,Evaporites,,,L'Intitut de Geologie et Recherches du Sous-sol(1966  Fig. 39),,77
E,78,E5096.1,40.25,N,18,E,Europe,Italy,Apulia,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Reina Luperto Sinni(1994),,78
E,79,E5097,42,N,-4,W,Europe,Spain,northern Spain,89.8,66,Upper,Cretaceous,Satonian-Campanian,,Evaporites,,cauliflower chert nodules  anhydrite relicts and other evaporitic evidence,Rodrigues-Lazaro(1984); Gomez=Alday et al.(2002),,79
E,80,E5098,41,N,-2,W,Europe,Spain,central Iberian Ranges,89.8,66,Upper,Cretaceous,Maastrichtian,,Evaporites,,,Melendez Melendez(1998),,80
E,81,E5098.1,42,N,0.9,E,Europe,Spain,Tremp area,89.8,66,Upper,Cretaceous,Maastrichtian,,Gypsum,Maastrichtian part of the Tremp Frm,,Soler-Gijon Lopez-Martinez(1998),,81
E,82,E5099,24,N,-76,W,North America,Bahamas,,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Jacobs(1977),,82
E,83,E5100,17,N,-88.5,W,North America,Belize,,89.8,66,Upper,Cretaceous,,,Evaporites,,,Claypool et al.(1980  Appendix),,83
E,84,E5100.1,20,N,-90,W,North America,Mexico,Yucatan,89.8,66,Upper,Cretaceous,,,Evaporites,,,Lopez Ramos(1975),,84
E,85,E5101,-25,S,-65,W,South America,Argentina,Salta region,89.8,66,Upper,Cretaceous,,,Evaporites,,,Benavides(1968  Fig. 6  pp.268-270),,85
E,86,E5106,-46,S,-69.5,W,South America,Argentina,Senguerr River  Chubut,89.8,66,Upper,Cretaceous,Senonian,,Evaporites,Castillo,lacustrine analcime,Teruggi(1964),,86
E,87,E5107,-38,S,-70,W,South America,Argentina,Neuquen  ,89.8,66,Upper,Cretaceous,Campanian,,Evaporites,Malargue Group,,Riccardi(1988),,87
E,88,E5108,-36,S,57,W,South America,Argentina,,89.8,66,Upper,Cretaceous,Maastrichtian-Paleocene,,Evaporites,Las Chilcas,,Riccardi(1988),,88
E,89,E5109,-25,S,-60,W,South America,Argentina,,89.8,66,Upper,Cretaceous,,,Evaporites,Mariano Boedo,,Riccardi(1988),,89
E,90,E5110,-38,S,-69,W,South America,Argentina,Neuquen  ,89.8,66,Upper,Cretaceous,Maastrichtian,,Evaporites,Loncoche and Allen Frms,,Gonzalez-Riga(1999),,90
E,91,E5110.1,-34.8,S,-68,W,South America,Argentina,Cinco Saltos northwestern Rio Negro Province,89.8,66,Upper,Cretaceous,,,Evaporites,Allen,,Salgado et al.(1997),,91
E,92,E5111,-20,S,-65,W,South America,Bolivia,southeastern Bolivia,89.8,66,Upper,Cretaceous,,,Evaporites,Santa Lucia  Chaunuca and Catacucho Frms,Riccardi(1988) cite these formations,Benavides(1968  Fig. 6  pp.170-171),,92
E,93,E5112,-17,S,-68,W,South America,Bolivia,Titicaca region,89.8,66,L - U?,Cretaceous,,,Evaporites,Ipaguazu Frm and others,,Benavides(1968  Fig. 6  pp.170-171),,93
E,94,E5113,-23,S,-68,W,South America,Chile,,89.8,66,Upper,Cretaceous,,,Evaporites,Tonel ,anhydrite  ,Hartley et al.(1992),,94
E,95,E5114,-35,S,-70,W,South America,Chile,central Andes,89.8,66,Upper,Cretaceous,Berriasian-Santonian,,Evaporites,Colimapu,,Benavides(1968  Fig. 6  pp. 268-270),,95
E,96,E5115,4,N,-74,W,South America,Colombia,Bogata region,89.8,66,Upper,Cretaceous,Turonian-early Coniacian,,Evaporites,,,Mclaughin(1972),,96
E,97,E5116,-15,S,-72,W,South America,Peru,southern Peru,89.8,66,Upper,Cretaceous,,,Evaporites,Chilcane,,Benavides(1968  Fig. 6  pp. 268-270),,97
E,98,E5116.1,-14,S,-72,W,South America,Peru,,89.8,66,Upper,Cretaceous,Coniacian-Santonian,,Evaporites,Vilquechico Group,,Jaillard et al.(1994),,98
CA,99,CA5117.1,30,N,22,E,Africa,Libya,NE Sirt Basin,89.8,66,L - U?,Cretaceous,,,Calcretes,,a dolocrete,Sghair El Alami(1996  p. 265),,99
CA,100,CA5117.2,-16,S,47,E,Africa,Madagascar,northwestern Madagasgar,89.8,66,Upper,Cretaceous,Maastrichtian,Rodgers et al.(2000) cite its age as Campanian and Maastrichtian,Calcretes,Maevarano,,Rodgers Hartman(1998),,100
CA,101,CA5118,-15,S,32,E,South America,South Africa,and adjacent areas,89.8,66,L  - U,Cretaceous,,Early Cretaceous to Senonian or even Paleocene age range,Calcretes,,nomarine beds with widespread calcretes,Both De Witt(1996),,101
CA,102,CA5119,-22,S,31,E,South America,South Africa,and adjacent areas,89.8,66,L  - U,Cretaceous,,Early Cretaceous to Senonian or even Paleocene age range,Calcretes,,nomarine beds with widespread calcretes,Both De Witt(1996),,102
CA,103,CA5120,-24,S,31,E,South America,South Africa,and adjacent areas,89.8,66,L  - U,Cretaceous,,Early Cretaceous to Senonian or even Paleocene age range,Calcretes,,nomarine beds with widespread calcretes,Both De Witt(1996),,103
CA,104,CA5121,39,N,75,E,Asia,China,,89.8,66,Upper,Cretaceous,Late Maastrichtian (Early Maastrichtian),,Calcretes,Tuyiluoke (Yigeziya) Frms,,Tang Tian-fu Xu Yao-song Yu Chong-liu(1992),,104
CA,105,CA5121.1,46,N,67,E,Asia,C.I.S.(fmr USSR),,89.8,66,Upper,Cretaceous,Maastrichtian-middle Eocene,,Calcretes,,,Erofeev Tsekhovskii(1982 1983),,105
CA,106,CA5121.2,48,N,82.5,E,Asia,C.I.S.(fmr USSR),,89.8,66,Upper,Cretaceous,Maastrichtian-middle Eocene,,Calcretes,,,Erofeev Tsekhovskii(1982 1983),,106
CA,107,CA5122,24,N,78,E,Asia,India,Madhya Pradesh,89.8,66,Upper,Cretaceous,,,Calcretes,Lameta,,Brookfield Sahni(1987);Sahni(1992);Sahni et al.(1994),,107
CA,108,CA5123,22,N,80,E,Asia,India,,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,Lameta,,Andrews et al.(1995),see also Tandon Andrews(2001),108
CA,109,CA5124,23,N,74,E,Asia,India,Narmada Valley,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,Lameta,,Tandon et al.(1995),see alsoPrasad Khajuria(1996),109
CA,110,CA5124.1,20.25,N,75.2,E,Asia,India,Chandrapur District,89.8,66,Upper,Cretaceous,,,Calcretes,Lameta,,Mahabey(1996),,110
CA,111,CA5124.2,17.2,N,77.8,E,Asia,India,Naskal area,89.8,66,Upper,Cretaceous,,,Calcretes,Lameta,,Sahni et al.(1996),,111
CA,112,CA5124.3,20.5,N,79,E,Asia,India,Maharashtra,89.8,66,Upper,Cretaceous,,,Calcretes,Lameta,,Mohabey et al.(1993),,112
CA,113,CA5124.4,35.7,N,128,E,Asia,Korea,southeastern Korea,89.8,66,Upper,Cretaceous,,,Calcretes,Jindon,,Paik et al.(2001),,113
CA,114,CA5125,45,N,110,E,Asia,Mongolia,Gobi Desert,89.8,66,Upper,Cretaceous,,,Calcretes,Djadokta Frm in the Bayan Manduhu section,associated with eolianites,Jerzykiewicz et al.(1989),see also Mikhailov et al.(1994),114
CA,115,CA5126,44,N,3,E,Europe,France,Languedoc,89.8,66,Upper,Cretaceous,,,Calcretes,,,Freytet(1973a),,115
CA,116,CA5127,43,N,3,E,Europe,France,Monts Saint-Chinian,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Freytet Plaziat(1982),,116
CA,117,CA5128,44,N,4,E,Europe,France,Villeveyrac Corbieres,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Freytet Plaziat(1982),,117
CA,118,CA5129,43.5,N,6,E,Europe,France,near Aix-en-Province,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Cousin et al.(1994),,118
CA,119,CA5130,45,N,3,E,Europe,France,in the Aude,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Cousin et al.(1994),,119
CA,120,CA5131,44.5,N,1,E,Europe,France,Aquitaine Basin,89.8,66,Upper,Cretaceous,Campanian-Maastrichtian,,Calcretes,,,Wright et al.(1995),,120
CA,121,CA5131.1,43.5,N,5,E,Europe,France,Marseille region,89.8,66,Upper,Cretaceous,Campanian-Maastrichtian,,Calcretes,,,Garcia Vianey-Liaud(2001),,121
CA,122,CA5126.1,41,N,15,E,Europe,Italy,southern Italy,89.8,66,Upper,Cretaceous,Coniacian,,Calcretes,,,Simone et al.(2003),,122
CA,123,CA5132,46,N,24,E,Europe,Rumania,,89.8,66,Upper,Cretaceous,,,Calcretes,,,Grigorescu et al.(1990  1994),also Grigorescu(1992),123
CA,124,CA5154,41,N,0,,Europe,Spain,Prebetic and Iberian Ranges,89.8,66,Upper,Cretaceous,upper Coniacian to lowermost Campanian,,Calcretes,Sierra de Utiel,,Martin-Chivellet Gimenez(1992),,124
CA,125,CA5155,42,N,1,E,Europe,Spain,southern Pyrenees,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Sanz et al.(1995),,125
CA,126,CA5156,50,N,-114.5,W,North America,Canada,Alberta & British Columbia:south-central Alberta,89.8,66,Upper,Cretaceous,Campanian and Maastrichtian,,Calcretes,,interlayered with coals,Jerzykiewicz Sweet(1988),see also Nort et al.(2002),126
CA,127,CA5156.1,50,N,-115,W,North America,Canada,Alberta & British Columbia:Lundbreck area,89.8,66,Upper,Cretaceous,Campanian,,Calcretes,Lundbreck Burmis and Connelly Creek Frms,,Jerzykiewicz(1997),,127
CA,128,CA5158,31,N,-110,W,North America,Mexico,Sonora ,89.8,66,Upper,Cretaceous,Campanian,,Calcretes,Correal de Enmedia,,Gonzalez-Leon Lawton(1995),,128
CA,129,CA5159,48,N,-115,W,North America,United States,Montana,89.8,66,Upper,Cretaceous,Campanian,,Calcretes,Two Medicine,probalbly a rainshadow type calcrete like those present in southern Alberta ,Varrichio(1995),see also Rogers(1990),129
CA,130,CA5160,33,N,-108,W,North America,United States,New Mexico:south-central New Mexico,89.8,66,Upper,Cretaceous,latest Maastrichtian,,Calcretes,Hall lake Member McRae Frm,,Buck Mack(1995),see also Seager et al.(1997),130
CA,131,CA5161,30,N,-104,W,North America,United States,Texas:Big Bend Region,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Lehman(1989),see also Nort et al.(2003),131
CA,132,CA5164,-41,S,-66,W,South America,Argentina,northern Patagonia,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,,,Andreis etal.(1991),,132
CA,133,CA5164.1,-39,S,-68,W,South America,Argentina,near Neuqen City,89.8,66,Upper,Cretaceous,Coniacian-Santonian,,Calcretes,,,Caldwell Albinoi(2001),,133
CA,134,CA5165,-20,S,-50,W,South America,Brazil,Parana Basin,89.8,66,Upper,Cretaceous,,,Calcretes,Bauru Group,,Suguio Barcelos(1983a),see also Suguio et al.(1980) Goldberg Garcia(1994),134
CA,135,CA5166,-19.5,S,-48,W,South America,Brazil,Parana Basin,89.8,66,Upper,Cretaceous,Maastrichtian,,Calcretes,Marilia,,Da Silva et al.(1994),,135
CA,136,CA5166.1,-22,S,-52,W,South America,Brazil,Bauru Basin,89.8,66,Upper,Cretaceous,,,Calcretes,Caiua and Bauru Groups,also evidence for evaporites and analcime,Fernandes Coimbra(1996),,136
D,137,D5166.2,64.5,N,169,E,Asia,Russia,Chukotka,89.8,66,Upper,Cretaceous,Campanian-Maastrichtian,,Dropstones,,,Ahlberg et al.(2002),,137
C,138,C5170,6,N,-2,W,Africa,Benin,,89.8,66,Upper,Cretaceous,Maastrichtian,,Coals,,,Brownfield Weaver(1992),,138
C,139,C5171,7,N,2,E,Africa,Dahomey,,89.8,66,Upper,Cretaceous,Maastrichtian-Paleocene,,Coals,Nigerian Upper Coal Measures,,Feys Fabre(1966),,139
C,140,C5173,-20,S,45,E,Africa,Madagascar,,89.8,66,L  - U,Cretaceous,Albian,and Upper Cretaceous,Coals,,,Besaire(1972  p. 43  367),,140
C,141,C5175,16,N,7,E,Africa,Niger,southwest of Agadez,89.8,66,Upper,Cretaceous,Coniacian-Santonian,,Coals,Iberciten,,Moody Sutcliffe(1991),,141
C,142,C5176,6,N,7,E,Africa,Nigeria,Benue Valley,89.8,66,Upper,Cretaceous,Coniacian and Campano-Maastrichtian,,Coals,,,Offodile(1980),,142
C,143,C5178,13,N,10,E,Africa,Nigeria,Chad Basin,89.8,66,Upper,Cretaceous,Maastrichtian,,Coals,Gombe Sandstone,Kinasar- 1 borehole(lignite0,Petters(1979),,143
C,144,C5179,7,N,7.5,E,Africa,Nigeria,,89.8,66,Upper,Cretaceous,Maastrichtian,,Coals,Mamu,,Akande et al.(1992),see also Reijers et al.(1997),144
C,145,C5180,8,N,9,E,Africa,Nigeria,,89.8,66,Upper,Cretaceous,Maastrichtian,,Coals,Lamja,,Enu(1980),,145
