reference,location,biome,site,Phenology / Leaf Form,Growth Form / Stature,Common Name,Species Name,max_root_depth,method,profile,P_mm,Seasonality,PET_mm,Topo Position,wt_range,wtd,Texture / Type,Hardpan Nature,depth_m,bedrock,bed_depth,human,latitude,longitude,altitude,authornotes,notes,root_depth
"Abdelkrim et al., 2014","Algeria, N. Africa",Atlas Sahara,"tree-3, male",deciduous broard-leaf,tree,Atlas pistachio,Pistacia atlantica,> 0.8,excavating half tree,drawings,NA,NA,NA,dayas (alluvial depressions) that follow old river systems,NA,NA,"sandy-silt, calcareous, poorly defined horizons",limestone hardpan,0.8,NA,NA,NA,35.55295,3.9369,580,NA,7 trees were excavated but very near one another; excavation stopped at 0.8m at the hardpan; no vertical profiles but illustration seggest roots go at least to 0.8m here.,0.8
"Abdi et al., 2010","N slope of Alborz Mountains, N. Iran",temperate broad-leaf forest,experimental forest of U. Tehran (Kheyrud Forest),deciduous broard-leaf,tree,Persian Ironwood,Parrotia persica,> 0.7,trench,yes,1200,rain mostly in winter,NA,on a west-facing slope,NA,NA,thin soil mantle over bedrock,NA,NA,"calcareous bedrock (Jura, Cretaceous) with cracks penetrable by roots",1,NA,36.5972,51.5609,381,"The site has relatively thin soil mantle, underlain by calcareous bedrock (Jura, Cretaceous) that contains discontinuities and cracks which are penetrable by roots (Majnounian and Etter, 1993). Thus the roots act in the same way as toe piles (Tsukamoto and Kusakaba, 1984). The slides normally involve the superficial layers of the slopes, in many cases less than 1m deep, and extend into the bedrock, where vegetation can have a beneficial effect on stability through the reinforcing action of lateral root.","lat-lon given cannot be right - putting it far south with z=2100m asl; It is also 85km to the west of Noshahr port, not 7km east as said; Moved to a west-facing slope 7km east of the port and at elevation 350-550m",0.7
"Addington et al., 2006","SW Georgia, US",Subtropical moist forest,xeric site,evergreen needle-leaf,tree,Longleaf pine,Pinus palustris,2.2000000000000002,excavation,yes,1310,NA,NA,upland sand ridge,NA,NA,deep sandy / Typic Quartzipsamments,NA,NA,NA,NA,NA,31.264,-84.4945,49,The two sites are located ≈5 km from one another and they experience similar climate. The sites were defined as xeric and mesic based on the drainage characteristics of their soils and on the composition of the woody plant community. Trees occupying a xeric habitat were shorter in stature and had lower sapwood-to-leaf area ratio than trees in a mesic habitat.,lat-lon approx.,2.2
"Addington et al., 2006","SW Georgia, US",Subtropical moist forest,mesic site,evergreen needle-leaf,tree,Longleaf pine,Pinus palustris,2,excavation,yes,1310,NA,NA,upland terrace,NA,NA,"sandy loam, sandy clay loam / Aquic Arenic Kandiudults",argillic horrizon,0.5,NA,NA,NA,31.2212,-84.473,42,NA,"lat-lon approx., max root depth extrap from Fig.3",2
"Albaugh et al., 2006","Virginia / N. Carolina, SE US",temperate broad-leaf forest,Virginia Piedmont (P),evergreen needle-leaf,tree,Loblolly pine,Pinus taeda L.,1.9,excavation,yes,1092,NA,NA,well drained,NA,NA,clay soil,NA,NA,NA,NA,pine plantations,36.68,-77.99,107,NA,profile data available,1.9
"Albaugh et al., 2006","Virginia / N. Carolina, SE US",temperate broad-leaf forest,N. Carolina Lower Coastal Plain (C),evergreen needle-leaf,tree,Loblolly pine,Pinus taeda L.,1.9,excavation,yes,1219,NA,NA,pooly drained,NA,NA,clay soil,NA,NA,NA,NA,pine plantations,35.1103,-76.5991,1,NA,profile data available; site moved off the water to the nearest forest,1.9
"Albaugh et al., 2006","Virginia / N. Carolina, SE US",temperate broad-leaf forest,N. Carolina Sandhills (S),evergreen needle-leaf,tree,Loblolly pine,Pinus taeda L.,3.5,excavation,yes,1220,NA,NA,well drained,NA,NA,sandy soil,NA,NA,NA,NA,pine plantations,34.91,-79.48,80,NA,profile data available; extralolated beyond 2.9m,3.5
"Alexandre & Ouedraogo, 1992","Burkina Faso, west Africa",tree savanna,The Watinoma Village Site,deciduous broard-leaf,tree,Acacia albida,Faidherbia albida,5.9,excavation,yes,NA,NA,NA,poorly drained,NA,5.9,deep sandy soil,NA,NA,NA,NA,repeatedly cut and resprouted,13.6164,-2.28871,346,"In Watinoma, F. albida is restricted to a plain, characterized by deep sandy soils and a high water table… Its taproot branched out at a depth of 120 cm to form secondary roots which attained a depth of 470 cm to a mottled, seasonally anaerobic horizon. At this depth, roots grew horizontally and abruptly changed direction (sometimes 90°) several times",Google search the village name found a map; water table inferred as the mottled anaerobic horizon; root depth from Fig.1,5.9
"Alexandre & Ouedraogo, 1992","Burkina Faso, west Africa",tree savanna,"Rakaye Yarse, Sissili Province Sites",deciduous broard-leaf,tree,Acacia albida,Faidherbia albida,2.2000000000000002,excavation,yes,NA,NA,NA,NA,NA,32,1m rich sandy soil on compact clay,compact clay,1m,NA,NA,repeatedly cut and resprouted,11.318,-2.2265,325,"Figure 2 is typical of the peculiar morphology of F. albida existing in this village. Stems emerged from a large horzontal root which had secondary roots at one end; these were atrophied on the upper side… Some roots successfully penetrated the clayey horizon. Their pathways were erratic, veering both horizontally and vertically in an apparently random manner. At 210 cm, a small root (3 cm in diameter) was uncovered which probably continued to greater depths.","situated in the classified forest of Nazinon in Sissili province, 100 km south of Ouagadougou",2.2
"Angadi & Entz, 2002","Southern Manitoba, Canada",Canadian Prairie,Carman Research Station,annual,herb,sunflower,Helianthus annuns,1.2,trench,yes,310,NA,NA,flat land,NA,NA,Sandy clay loam,NA,NA,NA,NA,annual crop,49.4998,-97.9478,258,"Many studies have reported rooting depth in sunflower beyond 2.0 m, which is deeper than many annual crops… even in the driest regions of western Canada, water from deeper soil layers is often left unused... a crop like the standard height sunflower, capable of extracting water from deeper layers, will have a distinctive advantage",extrapolated from Fig. 2A.; location picked to be on an area that looks like exprerimental plots,1.2
"Angadi & Entz, 2002","Southern Manitoba, Canada",Canadian Prairie,Winnipeg Plant Science Field Research Facility,annual,herb,sunflower,Helianthus annuns,1.8,trench,yes,340,NA,NA,flat land,NA,NA,clay loam,NA,NA,NA,NA,annual crop,49.8125,-97.1208,231,"In sunflower, the tap root is the major channel for conducting water from deep in the soil to above ground foliage. The diameter of the tap root is an indicator of water transportation ability of the root system","inferred from deepest soil water depletion; location picked near university campus, in an area that looks like an agriculatual experiment facility expreiment",1.8
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,an old-growth Tsuga heterophylla-Abies amabilis forest,perennial,"herb, with storage organ",Avalanche Lily,Erythronium montanum,0.19 (0.15-0.2),excavation,drawings,2000,winter rain,NA,high slope forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3033,-121.5124,1220,"E. montanum and C. uniflora differ markedly in underground morphology; E ontanumh as a short, segmented rhizome- or corm-like structure with a terminal bulbous scale; C. uniflora spreads extensively via slender, branching rhizomes that persist for many years; Roots of C. uniflora are larger and penetrate deeper into the soil","""E. montanum and C. uniflora were examined in an old-growth Tsuga heterophylla-Abies amabilis forest at 1,220 m elevation, with a shrub layer of Vaccinium membranaceum and an herb layer including Cornus canadensis and R. lasiococcus. The other four species were examined at a lower elevation (1,040 m), 1 km away from the first site, in a wet, old-growth, streambottom forest with a canopy of Tsuga heterophylla, Abies amabilis, and Pseudotsuga menziesii."" Ten specimen of each species gave range and mean rooting depth. Site elevations are used as a guide to locat 2 representative forest sites 1km apart in the Cascades in northern Oregon.",0.19
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,an old-growth Tsuga heterophylla-Abies amabilis forest,perennial rhizomatous,semi-succulent herb,queencup beadlily,Clintonia uniflora (Liliaceae),0.23 (0.15-0.3),excavation,drawings,2000,winter rain,NA,high slope forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3033,-121.5124,1220,NA,NA,0.23
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,"a wet, old-growth, streambottom forest",perennial rhizomatous,herb,"Twistedstalk, Rosy twistedstalk",Streptopus roseus,0.14 (0.1-0.19),excavation,drawings,2000,winter rain,NA,stream bottom forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3086,-121.502,1040,"Both S. roseus and S. stellata have long rhizomes that persist for approximately the same number of years, but the structure of the rhizome and root systems differs substantially; Rhizomes of S. stellata were thicker and heavier than those of S. roseus; Smilacina stellata produces long roots (usually one) at the end of annual rhizome segments. These roots grow straight downward, and are longer and penetrate deeper into the soil. the dimorphic root system of S. stellata allows for nutrient uptake near the surface and water uptake from deep in the mineral soil when the surface dries",NA,0.14
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,"a wet, old-growth, streambottom forest",perennial rhizomatous,herb,starry false lily of the valley,Smilacina stellata (Liliaceae),0.26 (0.18-0.33),excavation,drawings,2000,winter rain,NA,stream bottom forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3086,-121.502,1040,NA,NA,0.26
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,"a wet, old-growth, streambottom forest",perennial rhizomatous,herb,strawberryleaf raspberry,Rubus pedatus,0.17 (0.11-0.26),excavation,drawings,2000,winter rain,NA,stream bottom forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3086,-121.502,1040,Rubus pedatus and R. lasiococcus spread across the forest floor via stolons; The roots of R. lasiococcus reached more than twice the length and depth of those of R. pedatus; Rubus pedatus had twice as many roots per m of stolon as did R. lasiococcus,NA,0.17
"Antos, 1988","Cascade Mt., N. Oregon",Mountain forest,"a wet, old-growth, streambottom forest",perennial rhizomatous,herb,roughfruit berry,Rubus lasiococcus (Rosaceae),0.44 (0.27-0.61),excavation,drawings,2000,winter rain,NA,stream bottom forest,NA,NA,deep pumice soils,NA,NA,NA,NA,NA,45.3086,-121.502,1040,NA,NA,0.44
"Archer et al., 2002","Almeria, SE Spain",Dry Mediterranean Shrub steppe,Retama-site,perennial,shrub,broom bush,Retama sphaerocarpa,2,coring,yes,300-350,mainly Sept-May,NA,lower alluvial fan,NA,NA,alluvial loamy sands and fine sandy loams,NA,NA,NA,NA,NA,37.1257,-2.3697,628,"the presence of deep larger diameter roots in shrub areas form large open channels at deeper soil depths, facilitating deep-water percolation, while presence of thin shallow roots in grass areas form small open channels at shallow depths, causing water to remain within shallow depths. Over time these roots systems will alter their environment and facilitate storage and uptake of water and nutrient availability. The difference in rooting depth will decrease the competition for water between the shrub areas and grass areas
and cause differences in water distribution and availability.","sites pinpointed using elevation (630m), upper and lower alluvial fan, on SW facing slope",2
"Archer et al., 2002","Almeria, SE Spain",Dry Mediterranean Shrub steppe,Anthyllis-site,perennial,shrub,NA,Anthyllis cytisoides,1.5,coring,yes,300-350,mainly Sept-May,NA,upper alluvial fan,NA,NA,alluvial loamy sands and fine sandy loams,NA,NA,NA,NA,NA,37.1267,-2.3673,632,NA,"rooting depth determined by Table 4 (abundant roots, esp. at Retama site) at 1m, and Fig 7 (roots far exceed 1m depth)",1.5
"Armas et al., 2010","Almeria, S coast of Spain",Dry Mediterranean,NA,evergreen needle-leaf,tree,Phoenicean Juniper,Juniperus phoenicea,2.5,coring,no,220,mainly winter,NA,on top of dunes,NA,3.5,dune sand,NA,NA,NA,NA,NA,36.6903,-2.7,4,"sap isotopic signatures of isolated juniper matched that of soil 1 m above the water table and did not differ from values of soil 1 m below the dune surface… suggesting that these plants were taking up relatively fresh water… Thus, our hypothesis that juniper lacked deep roots does not hold because our results suggest that juniper was able to tap water from the dune down to 1 m above the water table.","rooting depths inferred from plant water use (1m soil water vs. GW at depth of 3.5m) via isotopes; mentioned that soil dry above WT, so assumes if plants use GW roots must be near WTD",2.5
"Armas et al., 2010","Almeria, S coast of Spain",Dry Mediterranean,NA,evergreen broad-leaf,shrub,mastic,Pistacia lentiscus,3.5,coring,no,220,mainly winter,NA,on top of dunes,NA,3.5,dune sand,NA,NA,NA,NA,NA,36.6929,-2.696,4,"In this dry system the physiology of lentisc seems to be relatively independent of rainfall… Lentisc d18O in xylem sap matched that of the salty aquifer, that was apparently its main water source… Salty water does not seem to have
constrained lentisc performance, and it is known to be a relatively salt-tolerant species",water table depth inferred from Fig.2 and related text… here salt tolerance allows lentisc to use salty groundwater,3.5
"Arndt, et al., 2004","Taklamakan desert, W. China",arid desert,NA,perennial legume,herb,camelthorn or manna tree,Alhagi sparsifolia,5,excavation,drawings,40,hot dry summer,2600,foreland of oasis,> 7.5,NA,pure silt,NA,NA,NA,NA,NA,37.0196,80.7031,1358,All investigated species showed high rates of water use... water potentials did not indicate drought stress and neither transpiration nor sap flow displayed the midday depression so common among plants in water-limited environments... soil water content was negligible in soil layers above groundwater while groundwater levels remained constant... the high water demands  can only be met by permanent groundwater access... the plant species primarily utilized nutrients from groundwater.. have root systems that access groundwater to satisfy demands for both water and nutrients... have adapted to the environment through development of root systems that access groundwater to satisfy demands for both water and nutrients.,lat-lon approx.,5
"Arndt, et al., 2004","Taklamakan desert, W. China",arid desert,NA,deciduous broad-leaf,shrub or small tree,salt cedar,Tamarix ramosissima,2,excavation,drawings,40,hot dry summer,2600,river bed,1.0 - 2.0,NA,pure silt,NA,NA,NA,NA,NA,37.0224,80.7052,1353,NA,lat-lon approx.,2
"Arndt, et al., 2004","Taklamakan desert, W. China",arid desert,NA,deciduous broad-leaf,tree,Euphrates Poplar or Desert Poplar,Populus euphratica,4,excavation,drawings,40,hot dry summer,2600,foreland of oasis,NA,4.5999999999999996,pure silt,NA,NA,NA,NA,NA,37.0217,80.7021,1356,NA,lat-lon approx.,4
"Arndt, et al., 2004","Taklamakan desert, W. China",arid desert,NA,deciduous,shrub,NA,Calligonum caput-medusae,7,excavation,drawings,40,hot dry summer,2600,foreland of oasis,> 7.5,NA,pure silt,NA,NA,NA,NA,NA,37.0231,80.6988,1358,NA,lat-lon approx.,7
"Ash et al., 1975",North Carolina,temperate mixed forest,Tidewater Research Station near Plymouth,perennial,C3 bunchgrass,tall fescue,Festuca arundinacea,1.5,soil coring to 1.65m,yes,NA,NA,NA,"flat terrace, artificially",NA,NA,"loamy sand, mottled grey C horizon",NA,NA,NA,NA,drained by tiles / ditches,35.8747,-76.6555,5,"Although these locations were characterized primarily by differences in soils, root biomass based on collections at depths down to 165 cm did not differ significantly between locations. Significant seasonal differences in root biomass were observed to soil depths of 45 cm. At greater depths, seasonal fluctuations in soil temperature and moisture seemed no longer of intensity sufficientt o affect root production. Vertical analysis of fescue roots reveals that root weight decreases with depth in an exponential manner. The first 30 cm of soil contained an average of 92% of all harvested roots, while 98% of the mass occurred in the upper 75 cm.","with seasonal distribution - it shows that root wbiomass changes across the season in the shallow soils, not deeper layers, at least for perennial grass such as this",1.5
"Ash et al., 1975",North Carolina,temperate mixed forest,Upper Coastal Plain Research Station near Rocky Mount,perennial,C3 bunchgrass,tall fescue,Festuca arundinacea,1.5,soil coring to 1.65m,yes,NA,NA,NA,"flat terrace, artificially",NA,NA,mottled fine sandy loam,NA,NA,NA,NA,drained by tiles / ditches,35.8941,-77.6801,29,NA,NA,1.5
"Ash et al., 1975",North Carolina,temperate mixed forest,Piedmont Research Station near Salisbury,perennial,C3 bunchgrass,tall fescue,Festuca arundinacea,1.5,soil coring to 1.65m,yes,NA,NA,NA,"3-5% slope, well drained",NA,NA,clay loam,NA,NA,NA,NA,NA,35.6992,-80.6201,223,NA,NA,1.5
"Badia et al., 2011","Bajo Cinca, NE Spain",Mediterran desert,Platform,evergreen needle-leaf,xerophytic shrub,rosemary and thyme,"Rosmarinus officinalis, Thymus vulgaris",0.35,soil pits,no,350,hot and windy summer,1240,on top of structural platform,NA,NA,"thin loam, with stone",cemented carbonate,0.6-1.5,NA,NA,NA,41.6315,0.1568,277,NA,"Rising water table with the planned large-scale irrigation is warned for the platform and step units, and drainage and salt water disposal is recommended for the depressions, but no water table data was collected",0.35
"Badia et al., 2011","Bajo Cinca, NE Spain",Mediterran desert,Step,perennial,nitrohalophilous herb,NA,"Artemisia herba-alba, Salsola vermiculata",0.35,soil pits,no,350,hot and windy summer,1240,on mid-slope step,NA,NA,"thin loam, with stone",lithic contact (R layer),0.5,NA,NA,NA,41.6314,0.1463,271,NA,NA,0.35
"Badia et al., 2011","Bajo Cinca, NE Spain",Mediterran desert,Depression,perennial,halophilous herb,NA,"Suaeda vera, Atriplex halimus, Aizoon hispanicum",0.6-0.8,soil pits,no,350,hot and windy summer,1240,in depression,NA,NA,"silty loam or silty clay loam, platy, often with salt",NA,NA,NA,NA,NA,41.6361,0.1357,251,NA,NA,NA
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,shrub,Winterfat (White-sage; Eurotia; Ceratoides),Eurotia ceratoides,9.1999999999999993,excavation,drawings,100-200,falls in early spring,NA,NA,NA,9,loamy Sierozem,NA,NA,NA,NA,NA,45.0655,68.1023,145,"Thus, in loamy soil desert where the ground water is rather deep, the root system of Eurotia ceratoides reaches the ground water level at a depth of 9 m (Fig. 1 ) .",location guessed,9.2
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,shrub,Winterfat (White-sage; Eurotia; Ceratoides),Eurotia ceratoides,6.1,excavation,drawings,100-200,falls in early spring,NA,NA,NA,NA,meadow Sierozem,NA,NA,NA,NA,NA,45.0278,67.4246,127,NA,location guessed to be in the saline meadows in southwest,6.1
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,shrub,Winterfat (White-sage; Eurotia; Ceratoides),Eurotia ceratoides,3,excavation,drawings,100-200,falls in early spring,NA,NA,NA,NA,quick sand (dune??),NA,NA,NA,NA,NA,44.2836,69.2907,359,NA,location guessed to be on active dunes,3
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,shrub,Winterfat (White-sage; Eurotia; Ceratoides),Eurotia ceratoides,3,excavation,drawings,100-200,falls in early spring,NA,NA,NA,NA,road metal soil,NA,NA,NA,NA,NA,45.1175,67.4173,125,NA,cannot find definition of soil; location guessed to be along a high way,3
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial legume,small thorny shrub,Camel thorn,Alhagi pseudoalhagi,2.9,excavation,drawings,100-200,falls in early spring,NA,NA,NA,6.5,meadow Sierozem,NA,NA,NA,NA,NA,45.0427,67.2934,124,"Thus, on meadow-sierozomic saline soil, where the ground water is at 6.5 m depth, the root system of some deep-rooted plants (Alhagi pseudoalhagi and Karelinia cas pia) has almost no branches in the upper soil horizons (Fig. 2 and 3),",location guessed to be in the saline meadows in southwest,2.9
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,subshrub,NA,Karelinia caspia,3.4,excavation,drawings,100-200,falls in early spring,NA,NA,NA,6.5,meadow Sierozem,NA,NA,NA,NA,NA,45.0412,67.2955,125,NA,NA,3.4
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,"shrub, sclerophyte",NA,Artemisia terra-albae,0.97,excavation,drawings,100-200,falls in early spring,NA,tend to be in depressions,NA,NA,loamy Sierozem,NA,NA,NA,NA,NA,44.9656,68.0852,137,NA,location guessed to be in depressions,0.97
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,"shrub, stem succulent",NA,Anabasis salsa,2,excavation,drawings,100-200,falls in early spring,NA,NA,NA,NA,saline crust,NA,NA,NA,NA,NA,46.1823,68.7113,186,NA,location guessed,2
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,perennial,leaf succulent,forage kochia,Kochia prostrata,7.3,excavation,drawings,100-200,falls in early spring,NA,NA,NA,NA,light chestnut calcareous soil,NA,NA,NA,NA,NA,44.984,68.0829,138,NA,location guessed,7.3
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,evergreen tiny-leaf,small tree,"saxaul, black saxaul",Haloxylon aphyllum,4.0999999999999996,excavation,drawings,100-200,falls in early spring,NA,NA,NA,4.0999999999999996,alluvial meadow chestnut soil with compact sandy layers at a depth of 1 50 cm,compact sand,1.5,NA,NA,NA,44.947,68.2609,146,"Thus, the deeply rooted desert tree Haloxylon aphyllum - on alkali soils reaches 4. 1 m, on half-fixed hilly sands on brown sandy loam soil 7.3 m, and with deep deposits of ground water up to 10 m depth (Fig. 6 A, B and C), due to ground water conditions.",location guessed to be near the edge of the riparian meadow with trees,4.1
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,evergreen tiny-leaf,small tree,"saxaul, black saxaul",Haloxylon aphyllum,10,excavation,drawings,100-200,falls in early spring,NA,NA,NA,10,half-fixed hillock sand,NA,NA,NA,NA,NA,44.9279,68.0524,153,NA,location guessed to be on stablized dunes,10
"Baitulin, 1996",Southern Kazakhstan,xeric shrubland,southern desert,evergreen tiny-leaf,small tree,"saxaul, black saxaul",Haloxylon aphyllum,7.3,excavation,drawings,100-200,falls in early spring,NA,NA,NA,7.3,loamy-sandy chestnut soil,NA,NA,NA,NA,NA,44.9747,68.2713,148,NA,location guessed to be higher than the alluvial meadow site,7.3
"Bakker et al., 2006",SW France,Mediterran pine plantation,wet site,evergreen needle-leaf,tree,Maritime Pine,Pinus pinaster,0.8-1.0,coring,yes,NA,NA,NA,NA,0.4 - 1.3,1.2,"eaolian sand / Entic to Densic Podzol, 12.5cm O",NA,0.5,NA,NA,plantation,44.7211,-0.742,61,NA,lat-lon moved 700m NE to match 61m elevation,NA
"Bakker et al., 2006",SW France,Mediterran pine plantation,dry site,evergreen needle-leaf,tree,Maritime Pine,Pinus pinaster,2.5-3.0,coring,yes,NA,NA,NA,NA,2.0 - 3.0,2.9,"eaolian sand / Entic to Densic Podzol, 5.5cm O",spodic horizon,0.3,NA,NA,plantation,44.5769,-0.8101,66,"The spodic horizon is locally cemented and forms a hardpan that can be continuous over several meters to tens of meters (occurring at 60% of sampling points). At the dry site, spodic horizon is more friable… All root tips, regardless of depth, were colonised by mycorrhizal fungi.",lat-lon moved 74m SW to match 66m elevation,NA
"Bakker et al., 2006",SW France,Mediterran pine plantation,wet site,perrenial grass,grass,purple moor-grass,Molinia caerulea,0.8,coring,yes,950,NA,NA,regional depression,0.4 - 0.8,0.7,"eaolian sand / Entic to Densic Podzol, 12.5cm O",spodic horizon,0.5,NA,NA,plantation,44.7211,-0.742,61,NA,"the Landes of Gascogne forest range in south western France; In one typical ‘humid’ and one typical ‘dry’ site, situated at 25 and 45 km southwest of Bordeaux, respectively.",0.8
